tipo,odor,cor_chapeu,cor_branquias,regiao,cor_esporos
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Venenoso,Pungente,Branco,Castanho,Urbano,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Almíscar,Amarelo,Rosa,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Branco,Preto,Gramados,Preto
Comestivel,Almíscar,Amarelo,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Rosa,Gramados,Preto
Comestivel,Nenhum,Branco,Castanho,Gramados,Preto
Venenoso,Pungente,Castanho,Castanho,Urbano,Castanho
Venenoso,Pungente,Branco,Preto,Urbano,Preto
Comestivel,Nenhum,Castanho,Rosa,Gramados,Preto
Comestivel,Nenhum,Cinzento,Castanho,Urbano,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Preto
Comestivel,Nenhum,Branco,Preto,Gramados,Preto
Venenoso,Pungente,Branco,Branco,Gramados,Preto
Comestivel,Almíscar,Amarelo,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Preto
Venenoso,Pungente,Castanho,Castanho,Urbano,Preto
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Cinzento,Preto,Gramados,Castanho
Comestivel,Nenhum,Branco,Castanho,Gramados,Preto
Venenoso,Pungente,Branco,Castanho,Urbano,Castanho
Comestivel,Nenhum,Branco,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Castanho
Venenoso,Pungente,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Venenoso,Pungente,Branco,Preto,Urbano,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Preto
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Venenoso,Pungente,Castanho,Castanho,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Preto
Venenoso,Pungente,Castanho,Castanho,Gramados,Preto
Comestivel,Almíscar,Branco,Castanho,Gramados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Almíscar,Amarelo,Cinzento,Gramados,Castanho
Venenoso,Fétido,Cinzento,Chocolate-Claro,Gramados,Chocolate-Claro
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Preto
Venenoso,Pungente,Branco,Rosa,Urbano,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Castanho
Comestivel,Anis,Branco,Preto,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Preto
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Castanho,Gramados,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Castanho,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Preto
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Venenoso,Pungente,Castanho,Preto,Urbano,Castanho
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Rosa,Gramados,Preto
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Almíscar,Amarelo,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Venenoso,Pungente,Branco,Branco,Gramados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Rosa,Gramados,Preto
Comestivel,Nenhum,Castanho,Castanho,Gramados,Preto
Comestivel,Nenhum,Branco,Castanho,Gramados,Preto
Comestivel,Nenhum,Castanho,Castanho,Gramados,Preto
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Castanho,Gramados,Preto
Comestivel,Nenhum,Cinzento,Preto,Gramados,Preto
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Branco,Castanho,Gramados,Preto
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Branco,Preto,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Preto
Comestivel,Anis,Branco,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Preto,Gramados,Preto
Venenoso,Pungente,Branco,Castanho,Gramados,Preto
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Preto,Gramados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Gramados,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Cinzento,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Preto
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Branco,Castanho,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Anis,Amarelo,Rosa,Gramados,Castanho
Venenoso,Pungente,Branco,Branco,Urbano,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Gramados,Preto
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Rosa,Gramados,Preto
Comestivel,Nenhum,Castanho,Rosa,Gramados,Preto
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Preto
Venenoso,Pungente,Branco,Branco,Urbano,Preto
Comestivel,Almíscar,Branco,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Anis,Branco,Castanho,Madeira/Árvores,Roxo
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Cinzento,Preto,Gramados,Preto
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Castanho,Gramados,Castanho
Venenoso,Pungente,Branco,Preto,Urbano,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Venenoso,Pungente,Branco,Rosa,Gramados,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Castanho
Venenoso,Pungente,Castanho,Branco,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Preto
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Castanho
Venenoso,Pungente,Castanho,Branco,Urbano,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Venenoso,Pungente,Branco,Castanho,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Anis,Branco,Preto,Prados,Preto
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Castanho
Venenoso,Pungente,Branco,Castanho,Urbano,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Venenoso,Pungente,Castanho,Castanho,Urbano,Preto
Venenoso,Pungente,Castanho,Branco,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Preto
Venenoso,Pungente,Branco,Branco,Urbano,Castanho
Comestivel,Anis,Amarelo,Castanho,Gramados,Castanho
Venenoso,Pungente,Castanho,Rosa,Gramados,Preto
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Gramados,Preto
Venenoso,Pungente,Castanho,Branco,Gramados,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Gramados,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Branco,Preto,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Preto
Comestivel,Almíscar,Amarelo,Castanho,Madeira/Árvores,Castanho
Comestivel,Almíscar,Branco,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Preto
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Preto
Comestivel,Anis,Branco,Preto,Prados,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Preto
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Gramados,Castanho
Comestivel,Nenhum,Branco,Castanho,Gramados,Preto
Comestivel,Almíscar,Amarelo,Rosa,Caminhos,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Preto,Gramados,Castanho
Comestivel,Almíscar,Branco,Preto,Prados,Preto
Comestivel,Nenhum,Castanho,Rosa,Gramados,Castanho
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Preto,Gramados,Preto
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Comestivel,Almíscar,Branco,Castanho,Prados,Preto
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Castanho
Venenoso,Pungente,Castanho,Castanho,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Branco,Castanho,Gramados,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Castanho
Venenoso,Pungente,Castanho,Castanho,Urbano,Preto
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Preto
Venenoso,Pungente,Branco,Rosa,Urbano,Castanho
Comestivel,Anis,Amarelo,Preto,Prados,Preto
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Preto,Gramados,Castanho
Comestivel,Nenhum,Branco,Rosa,Gramados,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Preto
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Preto
Comestivel,Nenhum,Castanho,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Castanho
Venenoso,Pungente,Castanho,Rosa,Urbano,Preto
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Preto,Gramados,Castanho
Comestivel,Almíscar,Branco,Cinzento,Prados,Castanho
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Preto,Gramados,Preto
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Gramados,Preto
Venenoso,Pungente,Branco,Castanho,Gramados,Preto
Comestivel,Nenhum,Castanho,Preto,Gramados,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Venenoso,Pungente,Branco,Branco,Gramados,Castanho
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Castanho,Madeira/Árvores,Preto
Venenoso,Fétido,Cinzento,Rosa,Gramados,Chocolate-Claro
Venenoso,Pungente,Branco,Rosa,Gramados,Preto
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Branco,Chocolate-Claro,Gramados,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Venenoso,Pungente,Castanho,Castanho,Urbano,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Castanho
Venenoso,Pungente,Branco,Branco,Gramados,Preto
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Castanho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Vermelho,Rosa,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Preto
Comestivel,Nenhum,Castanho,Roxo,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Castanho,Madeira/Árvores,Castanho
Comestivel,Nenhum,Vermelho,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Rosa,Madeira/Árvores,Preto
